,mean_nni,sdnn,sdsd,nni_50,nni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,encode
49,926.4375,21.569816046635935,29.081777729677487,1,3,29.156474409640097,929.05,58.19999999999993,0.03147160430103498,0.023282537728271942,64.79486701578207,66.57789613848202,62.539086929330836,1.407490996053008,0
50,924.7874999999999,19.045242188011137,19.82353785430902,0,2,20.678836662498306,929.05,45.0,0.022360635997457044,0.02059418210995622,64.90392376217122,66.57789613848202,63.411540900443875,1.253901291133254,0
51,931.9,21.112420176623157,19.83056803451244,0,2,20.689645443347416,937.65,60.69999999999993,0.02220157253283337,0.022655242168283247,64.41369924680998,66.57789613848202,62.37654641854663,1.3738094611633371,0
52,936.05,21.82488749766452,19.747074182660793,0,2,19.878919200284177,941.3,60.69999999999993,0.021237027082190243,0.02331594198778326,64.13012221109244,66.57789613848202,62.37654641854663,1.4207581945853351,0
53,936.3499999999999,21.86882974202582,14.113389213864957,0,1,15.17328479362891,942.5,60.69999999999993,0.016204714896810926,0.02335540101674141,64.10970755680032,66.57789613848202,62.37654641854663,1.4239451783363193,0
54,942.875,17.164310980303593,14.332523312026906,0,1,15.900763683367046,945.5,56.69999999999993,0.01686412693450038,0.018204227474801635,63.65405329594067,66.28369421122403,62.37654641854663,1.1098126964886184,0
55,950.675,10.471014413949716,10.682161365031455,0,0,11.515145306446232,949.8,30.100000000000023,0.012112599265202337,0.01101429448965179,63.1197283529399,64.0,62.00909466721786,0.6481055237646326,0
56,952.6375,9.019651165253402,12.37612909711961,0,0,12.434169511011609,953.3,27.399999999999977,0.013052362006546674,0.009468083258588288,62.987961672285266,63.81620931716656,62.00909466721786,0.5564144416120215,0
57,957.8125,14.244040107056305,16.65073388098883,0,1,17.60397682343394,953.5999999999999,46.0,0.01837935590048568,0.014871428496763517,62.654721982345635,63.81620931716656,60.83958629081322,0.8613981102058631,0
58,961.4749999999999,14.594201392529651,16.94898708670538,0,1,17.059978228088593,957.8499999999999,46.0,0.01774354843140861,0.015178971260334021,62.416644310846024,63.81620931716656,60.83958629081322,0.8822755671543961,0
59,959.05,16.0524141486569,20.84791380939784,0,2,20.91031871042209,953.5999999999999,46.0,0.021803158031825337,0.016737828214021064,62.577135690225305,63.81620931716656,60.83958629081322,0.9725439960703093,0
60,959.8875,15.91355554236702,21.182405097492722,0,2,21.37999732727499,956.95,46.0,0.022273440718078928,0.016578563157002273,62.52228509070552,63.81620931716656,60.83958629081322,0.9647774620261773,0
61,956.5,22.304259682849825,26.833446993463596,0,3,27.444099027451628,956.95,73.10000000000002,0.028692210169839652,0.023318619637062023,62.75903616842089,65.7102179388895,60.83958629081322,1.3913407098991728,0
62,952.575,25.466378395276955,26.32969147295927,0,3,27.12357962048098,956.85,73.10000000000002,0.028473957032759605,0.026734250211560198,63.026943650582005,65.7102179388895,60.83958629081322,1.591000078696316,0
63,949.0,25.060042184436057,27.262360985993343,0,3,27.33772903098259,947.85,73.10000000000002,0.028806879906198724,0.02640678839245106,63.26302726446412,65.7102179388895,60.83958629081322,1.5623170698867337,0
64,942.6875,29.768892560619616,25.253328735929,0,3,27.9288637178713,940.75,83.5,0.029626852714045006,0.031578749649931306,63.70320205412507,66.4672648720505,60.83958629081322,1.8756063679962276,0
65,935.9375,24.069716450344806,29.150027129192388,0,4,29.799113121989755,935.6,72.79999999999995,0.03183878530563179,0.025717226257463567,64.14373756953269,66.4672648720505,61.50691952844695,1.534063602845809,0
66,935.5625,23.378741106276127,30.758108272288048,0,4,31.05525030375009,935.6,69.79999999999995,0.03319420167412662,0.024988967713302026,64.16745489068762,66.4672648720505,61.696658097686374,1.4940589667816155,0
67,937.5374999999999,24.67971622318907,30.770924521670878,0,4,30.772529493503946,935.6,69.79999999999995,0.03282271855099551,0.026323977678961188,64.03625438670053,66.4672648720505,61.696658097686374,1.5766225269425673,0
68,940.9125,29.620139745980733,25.19567504188618,0,4,27.345723092077325,935.6,84.79999999999995,0.02906298204357719,0.03148022770021732,63.82275798780492,66.4672648720505,60.75949367088607,1.8640454412723493,0
69,949.5250000000001,30.384946931005146,25.832632424110077,0,4,27.217536363790998,948.65,84.79999999999995,0.028664370462906184,0.03200015474158673,63.24645528719526,66.4672648720505,60.75949367088607,1.903691805947828,0
70,955.5250000000001,28.87489022861013,26.466351374944757,0,4,26.834306400576104,964.15,84.79999999999995,0.02808331168789524,0.030218874680003272,62.84392381147015,66.4672648720505,60.75949367088607,1.8125749133855809,0
71,959.5999999999999,28.507643085420327,20.864382305249105,0,3,23.069553218783536,970.8,84.79999999999995,0.024040801603567672,0.02970783981390197,62.575929383123636,66.4672648720505,60.75949367088607,1.7953630664188545,0
72,962.35,22.70525426919,26.850789522082653,0,3,26.87215765700359,970.8,62.799999999999955,0.027923476549076315,0.023593551482506366,62.37825989204746,64.88590894344111,60.75949367088607,1.39944436215644,0
73,961.0875000000001,24.804921026740974,20.95771252512341,0,2,22.160002578648644,970.8,65.39999999999998,0.02305721651634075,0.02580922239311298,62.46638415882738,65.06886454831363,60.75949367088607,1.5371293602908527,0
74,951.95,32.32455943794351,21.56554318957037,0,3,23.14892777523092,964.15,88.10000000000002,0.024317377777436755,0.03395615256887811,63.093194491679974,66.711140760507,60.75949367088607,2.036678798113558,0
75,943.0,39.44355822836328,15.157459266927665,0,2,20.907141636975897,947.35,100.79999999999995,0.0221708819055948,0.04182773937260157,63.725163948231305,67.66662907409496,60.75949367088607,2.516770533005529,0
76,936.35,35.11658135004439,26.646437905679306,0,3,27.503947768586627,929.5,95.29999999999995,0.029373575872896487,0.03750369130137704,64.15762743202816,67.66662907409496,61.09979633401222,2.2534902639376795,0
77,931.275,30.16089000202556,26.9518845655114,0,3,27.259808195531043,929.5,84.89999999999998,0.02927149144509521,0.032386663447451676,64.48701076153219,67.66662907409496,61.753808151502675,1.9553196254569485,0
78,929.9625000000001,28.41277064480487,28.045407787357668,0,3,28.09862731776867,929.5,84.89999999999998,0.03021479609959398,0.030552598244343043,64.5716231294429,67.66662907409496,61.753808151502675,1.8515133484641164,0
79,927.4,24.818138528100764,21.70620150264593,0,2,22.031406154461774,929.5,72.79999999999995,0.023756098937310517,0.026760986120445078,64.73800325076371,67.66662907409496,62.53256904637832,1.6383593309031166,0
