mean_nni,median_nni,range_nni,mean_hr,max_hr,min_hr,nni_50,nni_20,csi,cvi,Modified_csi,lf_hf_ratio,total_power,vlf,freq_mean,freq_std,encode
855.95,859.45,166.60000000000002,70.40501171956737,78.33920877399139,64.343163538874,3,8,2.1561675557230995,4.635173815933587,657.8254450558175,1.0776813349163743,3072.622921866372,373.1650762641237,5.556558463416813,3.3319585137340058,0
881.5699999999999,890.0,225.89999999999998,68.44135793932114,75.35795026375283,58.7026709715292,4,8,1.9690520775501363,4.807719324131409,700.2376627109243,0.36508924374178664,1843.7602718585788,16.280300848437516,5.562430623657275,3.3319585137340058,0
898.76,893.8,214.39999999999998,67.10326976141194,74.28500680945895,58.7026709715292,5,8,1.7047568694933655,4.813932223420296,568.1457802782381,0.47920383685196527,2841.1162187264563,146.50232187919812,5.554128065456619,3.3319585137340058,0
915.8100000000001,914.75,214.39999999999998,65.84008541369589,74.28500680945895,58.7026709715292,4,8,1.7763061899766983,4.793017803479355,589.9098468868417,0.716888570714668,4902.205947444261,327.62515045747557,5.550570101986306,3.3319585137340058,0
931.8799999999999,932.25,243.0999999999999,64.80920506240368,74.28500680945895,57.099352874000765,5,8,2.1061811376136856,4.885981771805849,847.6849339618385,0.8019955428507908,5279.360411490474,224.86993934581471,5.545560171776854,3.3319585137340058,0
941.4,950.3,243.0999999999999,64.21255831738742,74.28500680945895,57.099352874000765,5,9,2.2462453214318905,4.927160513300618,978.9624523935495,0.9257528264428536,3833.586152950069,71.20292923478772,5.44335048776309,3.3319585137340058,0
941.1899999999999,949.25,243.0999999999999,64.22708117244242,74.28500680945895,57.099352874000765,6,9,1.9697810592604044,4.96341929900931,838.178632300892,1.7284685424632016,2623.455690932151,275.2201813432008,5.486346590129425,3.3319585137340058,0
943.0799999999999,949.25,243.0999999999999,64.08920363541672,74.28500680945895,57.099352874000765,5,8,2.2203783681427627,4.921677841725995,956.0473504952782,2.3891109466201645,2671.538164902438,574.4292457799849,5.523204037098222,3.3319585137340058,0
951.2700000000001,949.25,221.79999999999995,63.40530727101758,72.37635705669481,57.099352874000765,5,8,1.8086986063922441,4.845915994373666,644.1800980021914,1.5037681906442966,2731.190071489955,524.1326992137497,5.546525145809258,3.3319585137340058,0
954.7400000000001,949.25,187.0999999999999,63.1145281127604,69.46856547412295,57.099352874000765,4,8,1.6918085708724946,4.785480372559988,543.5844410648315,0.9933301400521583,2973.284422081153,317.9714784612099,5.562377312139806,3.3319585137340058,0
948.3,949.25,225.29999999999995,63.640519742768845,72.6832222895215,57.099352874000765,3,8,3.242267266587157,4.7104022096707165,1322.7394991064434,1.048998203221718,3255.9166863428436,174.50294864755688,5.56533191881583,3.3319585137340058,0
931.3700000000001,923.4,225.29999999999995,64.80589992516565,72.6832222895215,57.099352874000765,2,8,3.1991714668150792,4.72197967441256,1313.8509933701166,1.5869548323787999,2858.911641229314,88.8478219690623,5.561395333289504,3.3319585137340058,0
925.1899999999998,911.3499999999999,225.29999999999995,65.22851747259497,72.6832222895215,57.099352874000765,3,8,2.8707626735953453,4.750474638381496,1154.0729328198242,2.6761832733365862,2262.039765748051,152.9558968202446,5.573263738870507,3.3319585137340058,0
922.2900000000002,911.3499999999999,225.29999999999995,65.41170817967995,72.6832222895215,57.099352874000765,3,8,2.862135204038331,4.725553497332295,1116.37979286551,2.5374606388632963,2464.833973498589,414.6466803627545,5.5772194147724266,3.3319585137340058,0
912.8699999999999,911.3499999999999,201.70000000000005,65.97398698385419,72.6832222895215,58.41121495327103,3,7,2.2687243548892644,4.620278962197451,697.9303445821729,1.552886097176833,2596.4579363149114,430.0782049017643,5.581342957219772,3.3319585137340058,0
903.1400000000001,911.3499999999999,134.70000000000005,66.58517218817221,72.6832222895215,62.486981878775254,2,7,2.2901119871427285,4.37197073681431,531.8270813110705,0.9947180753868226,2278.2067409384563,195.9021840254721,5.581721105406194,3.3319585137340058,0
905.3399999999999,911.3499999999999,134.70000000000005,66.43620698174976,72.6832222895215,62.486981878775254,2,8,2.3878026004756565,4.397078968832724,582.8235819341676,0.8618558761559888,2045.9099614631416,45.847908916786814,5.573000968728196,3.3319585137340058,0
902.76,898.45,134.70000000000005,66.62587896488455,72.6832222895215,62.486981878775254,3,8,2.0300202148754227,4.444031602343916,482.2434583212727,0.9909369759314262,1758.5672515446954,67.92717730589892,5.5657692627089395,3.3319585137340058,0
907.0800000000002,918.0999999999999,134.70000000000005,66.3135216466225,72.6832222895215,62.486981878775254,3,8,2.0120126182221565,4.458165303897514,483.64722692827524,1.5018226904384904,1467.7221562103964,197.59080811869188,5.555227128343891,3.3319585137340058,0
913.86,930.7,134.70000000000005,65.8078889317384,72.6832222895215,62.486981878775254,3,7,2.1078555746651015,4.406560732943441,488.6992162701395,1.9081326745243496,743.6795371147006,139.81091113920525,5.540341502496603,3.3319585137340058,0
924.05,930.7,107.40000000000009,65.0092669400086,70.35647279549718,62.486981878775254,3,6,1.3859889831558605,4.220933383816991,210.42937205911292,0.9921938350003225,252.95871737822273,25.539071459397576,5.520141637378695,3.3319585137340058,0
935.9400000000002,932.15,81.10000000000002,64.14836495221559,67.37031214911296,61.747452917567145,2,6,0.884915871670813,3.9977896031383815,83.03243581668133,0.579320041790049,230.54774914512316,9.603791773229268,5.50628855703824,3.3319585137340058,0
944.2800000000001,942.5999999999999,99.10000000000002,63.59048372091553,67.37031214911296,60.624431645953315,1,5,1.3172346975907814,4.07585443828524,164.97645307163393,1.2211251310780138,390.2803280957895,62.5057735755642,5.508296367650004,3.3319585137340058,0
