Time, Sample Count, Green Count, Green2 Count, IR Count, Red Count, X Axis Acceleration (g), Y Axis Acceleration (g), Z Axis Acceleration (g), Operating Mode, Heart Rate (bpm), HR Confidence (%), RR, RR Confidence (%), Activity, R Value, SpO2 Confidence (%), SpO2 (%), SpO2 Percent Complete, Low Signal Quality, Motion Flag, WSPO2 Low Pi, Unreliable R, SpO2 State, SCD State, SAMPLE Time
2023-03-03 13:12:35.510,0,137991,134292,19244,25855,0.033,0.008,-1.025,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.588,1,269671,265075,18729,25491,0.033,0.006,-1.025,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.603,2,353675,290836,18600,25421,0.033,0.007,-1.025,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.603,3,277728,223648,18723,25491,0.034,0.01,-1.024,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.666,4,152646,111479,18936,25666,0.033,0.007,-1.026,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.681,5,123802,98481,19126,25825,0.034,0.007,-1.026,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.777,6,125055,99341,19190,25870,0.032,0.005,-1.027,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.777,7,125122,99532,19094,25763,0.033,0.007,-1.027,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.792,8,124593,99313,18994,25663,0.033,0.01,-1.024,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
2023-03-03 13:12:35.919,9,124643,99366,19019,25666,0.032,0.009,-1.024,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,48184
